,Usia,Gender,Gaji,Jumlah Anak
82,26,P,7-10JT,6
83,19,P,1-3JT,1
84,53,L,7-10JT,4
85,52,L,4-6JT,4
86,25,P,4-6JT,6
87,59,P,4-6JT,4
88,26,P,4-6JT,5
89,27,P,7-10JT,1
90,41,P,4-6JT,1
91,26,L,4-6JT,0
92,50,P,7-10JT,1
93,32,L,7-10JT,4
94,33,P,7-10JT,2
95,19,P,4-6JT,0
96,40,P,1-3JT,4
97,53,L,4-6JT,6
98,36,L,7-10JT,6
99,27,L,7-10JT,1
100,59,P,4-6JT,0
101,22,P,1-3JT,2
102,23,P,7-10JT,1
103,29,P,7-10JT,6
104,45,P,7-10JT,6
105,57,P,1-3JT,2
106,45,L,1-3JT,1
107,47,L,7-10JT,3
108,46,L,4-6JT,1
109,27,L,4-6JT,2
110,17,P,7-10JT,1
111,45,L,7-10JT,6
112,28,P,1-3JT,3
113,52,L,7-10JT,0
114,48,P,4-6JT,5
115,59,L,1-3JT,1
116,30,L,7-10JT,4
117,48,P,4-6JT,6
118,51,P,7-10JT,4
119,44,L,4-6JT,2
120,31,L,4-6JT,1
121,59,L,7-10JT,0
122,60,P,1-3JT,5
123,22,L,7-10JT,1
124,39,L,7-10JT,6
125,56,P,7-10JT,4
126,57,L,1-3JT,1
127,17,L,7-10JT,3
128,28,L,7-10JT,0
129,40,L,7-10JT,2
130,17,L,4-6JT,4
131,49,P,7-10JT,5
132,41,L,1-3JT,3
133,53,P,4-6JT,6
134,28,L,1-3JT,4
135,48,P,1-3JT,1
136,50,L,1-3JT,0
137,47,P,1-3JT,3
138,17,P,7-10JT,1
139,31,P,1-3JT,6
140,53,L,7-10JT,3
141,27,L,1-3JT,5
142,18,P,4-6JT,5
143,44,P,4-6JT,2
144,36,L,7-10JT,1
145,53,P,1-3JT,6
146,41,P,7-10JT,3
147,22,L,7-10JT,1
148,22,P,4-6JT,0
149,23,P,1-3JT,1
150,19,L,1-3JT,0
151,45,P,7-10JT,4
152,27,P,1-3JT,0
153,31,P,1-3JT,1
154,32,L,4-6JT,0
155,32,L,4-6JT,4
156,19,L,1-3JT,2
157,20,P,1-3JT,0
158,21,L,7-10JT,5
159,18,P,7-10JT,3
160,41,P,4-6JT,1
161,37,L,7-10JT,4
162,22,P,1-3JT,4
163,19,L,7-10JT,2
164,29,L,1-3JT,4
165,24,P,7-10JT,0
166,51,L,4-6JT,2
167,57,L,7-10JT,0
168,52,P,1-3JT,2
169,56,L,4-6JT,1
170,38,L,4-6JT,4
171,30,P,4-6JT,5
172,37,P,1-3JT,4
173,30,P,4-6JT,5
174,56,L,4-6JT,5
175,17,L,7-10JT,0
176,36,P,4-6JT,0
177,36,L,1-3JT,3
178,54,P,1-3JT,1
179,58,P,1-3JT,3
180,47,L,4-6JT,6
181,50,P,1-3JT,3
182,42,P,1-3JT,0
183,56,L,7-10JT,6
184,49,L,4-6JT,4
185,60,L,7-10JT,1
186,58,P,7-10JT,6
187,57,P,4-6JT,5
188,59,L,1-3JT,5
189,53,L,7-10JT,6
190,45,P,4-6JT,2
191,54,P,4-6JT,2
192,53,L,7-10JT,0
193,54,P,1-3JT,5
194,53,L,1-3JT,1
195,21,L,4-6JT,1
196,58,L,4-6JT,3
197,26,P,1-3JT,4
198,55,P,4-6JT,0
199,29,P,7-10JT,1
200,38,P,4-6JT,6
201,22,L,7-10JT,0
202,17,L,4-6JT,4
203,26,P,4-6JT,5
204,54,P,1-3JT,1
205,39,L,1-3JT,3
206,33,L,1-3JT,3
207,27,L,1-3JT,1
208,39,P,1-3JT,1
209,49,P,1-3JT,0
210,48,P,7-10JT,2
211,33,P,1-3JT,2
212,42,P,7-10JT,5
213,21,P,4-6JT,2
214,57,P,7-10JT,1
215,27,P,7-10JT,4
216,28,P,4-6JT,1
217,29,P,1-3JT,6
218,17,P,7-10JT,1
219,49,P,7-10JT,1
220,58,L,7-10JT,3
221,28,L,4-6JT,2
222,43,L,1-3JT,1
223,31,L,4-6JT,1
224,56,P,4-6JT,3
225,25,P,1-3JT,0
226,32,L,1-3JT,0
227,41,L,4-6JT,5
228,56,P,1-3JT,5
229,31,P,1-3JT,2
230,38,L,4-6JT,4
231,52,P,7-10JT,3
232,40,L,7-10JT,0
233,26,P,4-6JT,5
234,57,L,4-6JT,6
235,58,L,7-10JT,1
236,54,P,4-6JT,3
237,20,L,4-6JT,1
238,46,P,7-10JT,0
239,19,P,1-3JT,6
240,58,L,4-6JT,6
241,31,P,7-10JT,0
242,23,P,4-6JT,2
243,27,L,4-6JT,3
244,57,L,7-10JT,1
245,30,L,1-3JT,3
246,44,L,7-10JT,5
247,57,L,7-10JT,4
248,41,L,1-3JT,2
249,44,P,4-6JT,1
250,24,L,1-3JT,3
251,56,L,7-10JT,6
252,45,L,4-6JT,5
253,18,P,1-3JT,6
254,24,L,4-6JT,3
255,59,L,1-3JT,1
256,25,L,4-6JT,2
257,31,L,7-10JT,4
258,18,P,1-3JT,5
259,26,P,1-3JT,6
260,53,P,7-10JT,5
261,31,P,4-6JT,1
262,43,P,4-6JT,4
263,51,P,4-6JT,2
264,51,L,4-6JT,0
265,36,P,4-6JT,3
266,46,P,7-10JT,1
267,27,L,7-10JT,4
268,50,P,4-6JT,6
269,58,L,1-3JT,2
270,53,P,1-3JT,6
271,38,P,7-10JT,1
272,51,L,4-6JT,6
273,37,P,4-6JT,5
274,39,P,1-3JT,0
275,54,L,4-6JT,1
276,42,L,7-10JT,2
277,56,P,4-6JT,5
278,31,P,1-3JT,6
279,23,L,7-10JT,6
280,28,P,7-10JT,6
281,32,L,7-10JT,3
282,25,L,7-10JT,3
283,37,L,4-6JT,6
284,23,P,7-10JT,4
285,50,P,7-10JT,3
286,53,P,7-10JT,1
287,53,P,4-6JT,2
288,23,P,1-3JT,4
289,34,L,7-10JT,6
290,36,L,4-6JT,2
291,54,L,1-3JT,6
292,48,P,7-10JT,2
293,48,P,7-10JT,5
294,26,L,7-10JT,0
295,51,L,1-3JT,3
296,21,L,1-3JT,6
297,43,L,4-6JT,6
298,38,L,1-3JT,6
299,55,P,7-10JT,1
300,19,P,1-3JT,1
301,33,P,1-3JT,4
302,19,P,1-3JT,4
303,26,L,7-10JT,1
304,60,L,7-10JT,4
305,39,L,7-10JT,6
306,57,L,1-3JT,0
307,55,P,7-10JT,4
308,18,P,4-6JT,2
309,40,P,4-6JT,6
310,51,P,4-6JT,3
311,29,L,4-6JT,3
312,18,L,1-3JT,6
313,57,P,1-3JT,6
314,25,L,1-3JT,0
315,32,P,4-6JT,0
316,28,L,1-3JT,0
317,41,P,7-10JT,2
318,37,L,1-3JT,0
319,32,P,4-6JT,3
320,60,P,7-10JT,5
321,21,P,1-3JT,3
322,20,P,4-6JT,5
323,38,P,4-6JT,2
324,50,L,1-3JT,1
325,22,L,7-10JT,1
326,17,L,7-10JT,1
327,46,L,7-10JT,4
328,54,L,4-6JT,4
329,17,P,1-3JT,4
330,56,L,4-6JT,0
331,24,L,7-10JT,1
332,20,P,4-6JT,3
333,47,P,1-3JT,1
334,50,L,7-10JT,5
335,36,L,1-3JT,1
336,41,P,4-6JT,3
337,32,L,4-6JT,2
338,57,L,4-6JT,0
339,27,L,4-6JT,5
340,40,L,7-10JT,5
341,40,L,4-6JT,4
342,37,P,1-3JT,2
343,39,L,4-6JT,4
344,38,L,1-3JT,6
345,45,L,7-10JT,4
346,24,P,4-6JT,0
347,58,L,4-6JT,3
348,34,P,1-3JT,1
349,25,P,1-3JT,3
350,36,P,1-3JT,6
351,29,P,7-10JT,3
352,29,L,7-10JT,5
353,28,P,4-6JT,3
354,58,L,1-3JT,3
355,46,P,1-3JT,6
356,52,L,4-6JT,0
357,26,L,1-3JT,4
358,41,P,7-10JT,4
359,56,P,1-3JT,5
360,37,P,4-6JT,1
361,27,P,1-3JT,4
362,54,L,1-3JT,5
363,35,P,1-3JT,4
364,43,L,4-6JT,5
365,36,L,4-6JT,2
366,43,L,7-10JT,1
367,51,L,7-10JT,4
368,42,L,4-6JT,1
369,30,P,4-6JT,0
370,30,P,4-6JT,1
371,30,P,7-10JT,4
372,57,L,7-10JT,0
373,41,P,1-3JT,5
374,41,P,7-10JT,3
375,28,L,1-3JT,2
376,60,L,1-3JT,3
377,26,P,7-10JT,6
378,35,P,7-10JT,5
379,30,L,7-10JT,1
380,42,P,1-3JT,0
381,55,P,7-10JT,5
382,44,L,1-3JT,4
383,22,L,1-3JT,2
384,55,P,1-3JT,3
385,44,P,1-3JT,2
386,31,P,7-10JT,6
387,24,P,7-10JT,4
388,47,L,1-3JT,4
389,59,P,7-10JT,6
390,44,P,7-10JT,2
391,46,P,4-6JT,0
392,39,P,7-10JT,2
393,36,P,1-3JT,1
394,29,L,1-3JT,5
395,31,P,4-6JT,1
396,46,P,4-6JT,5
397,33,P,1-3JT,6
398,57,P,1-3JT,4
399,22,P,1-3JT,2
400,54,P,1-3JT,3
401,25,P,4-6JT,1
402,43,L,1-3JT,3
403,40,P,4-6JT,4
404,18,L,1-3JT,0
405,36,P,1-3JT,5
406,54,L,1-3JT,1
407,18,L,4-6JT,0
408,22,P,1-3JT,2
409,27,P,7-10JT,1
410,43,L,7-10JT,4
411,46,L,4-6JT,0
412,43,P,7-10JT,0
413,39,L,1-3JT,2
414,39,L,4-6JT,2
415,25,L,1-3JT,2
416,29,P,7-10JT,0
417,36,P,7-10JT,4
418,37,P,1-3JT,0
419,20,L,4-6JT,6
420,27,P,7-10JT,3
421,24,L,4-6JT,2
422,39,L,4-6JT,1
423,21,L,7-10JT,6
424,21,P,7-10JT,3
425,39,L,1-3JT,2
426,42,L,7-10JT,2
427,27,L,1-3JT,0
428,59,P,4-6JT,2
429,59,P,1-3JT,0
430,21,P,1-3JT,6
431,43,P,1-3JT,3
432,19,P,4-6JT,0
433,50,L,7-10JT,0
434,40,P,4-6JT,5
435,32,P,4-6JT,2
436,28,L,4-6JT,1
437,41,L,1-3JT,6
438,38,P,4-6JT,6
439,44,P,1-3JT,4
440,54,P,4-6JT,6
441,46,P,4-6JT,1
442,59,L,4-6JT,4
443,45,P,7-10JT,0
444,43,P,1-3JT,5
445,60,L,7-10JT,1
446,45,P,7-10JT,1
447,43,L,4-6JT,1
448,21,L,1-3JT,2
449,52,L,1-3JT,2
450,42,P,1-3JT,0
451,59,P,1-3JT,6
452,43,L,4-6JT,1
453,59,L,1-3JT,0
454,35,L,1-3JT,3
455,17,L,1-3JT,2
456,56,L,4-6JT,6
457,57,P,7-10JT,3
458,53,P,4-6JT,4
459,40,P,7-10JT,6
460,57,L,4-6JT,1
461,32,P,1-3JT,3
462,20,P,7-10JT,4
463,24,P,7-10JT,3
464,25,L,1-3JT,1
465,26,P,4-6JT,0
466,58,P,7-10JT,1
467,44,P,4-6JT,6
468,57,L,4-6JT,3
469,24,P,7-10JT,6
470,55,L,4-6JT,3
471,25,P,1-3JT,3
472,58,L,7-10JT,2
473,32,L,1-3JT,3
474,53,P,1-3JT,2
475,53,L,7-10JT,5
476,30,P,4-6JT,5
477,24,L,1-3JT,1
478,19,P,4-6JT,0
479,40,P,4-6JT,5
480,47,L,1-3JT,6
481,58,L,4-6JT,0
482,58,L,1-3JT,6
483,23,L,7-10JT,1
484,49,P,1-3JT,3
485,40,L,1-3JT,2
486,36,P,7-10JT,4
487,41,L,1-3JT,5
488,33,L,1-3JT,6
489,38,L,1-3JT,3
490,19,L,7-10JT,1
491,48,P,1-3JT,0
492,30,P,7-10JT,5
493,60,P,4-6JT,0
494,20,L,7-10JT,6
495,40,L,4-6JT,4
496,21,L,7-10JT,5
497,19,L,7-10JT,4
498,44,L,1-3JT,2
499,30,P,7-10JT,5
500,40,P,1-3JT,5
501,43,L,4-6JT,5
502,59,P,1-3JT,0
503,22,P,1-3JT,6
504,31,L,4-6JT,3
505,40,P,7-10JT,1
506,28,L,4-6JT,5
507,55,P,7-10JT,6
508,38,L,4-6JT,2
509,38,P,7-10JT,4
510,21,L,1-3JT,4
511,51,L,4-6JT,2
512,32,L,7-10JT,6
513,46,L,4-6JT,6
514,41,L,7-10JT,3
515,59,L,7-10JT,5
516,54,P,7-10JT,6
517,17,P,1-3JT,5
518,52,L,7-10JT,0
519,55,P,7-10JT,0
520,54,P,1-3JT,4
521,26,L,4-6JT,1
522,55,P,7-10JT,0
523,36,L,4-6JT,4
524,50,P,1-3JT,1
525,43,L,7-10JT,6
526,41,L,7-10JT,3
527,22,L,1-3JT,6
528,24,L,7-10JT,0
529,21,P,7-10JT,1
530,36,L,7-10JT,5
531,56,L,4-6JT,0
532,44,L,1-3JT,3
533,33,P,1-3JT,3
534,59,L,1-3JT,3
535,59,P,4-6JT,5
536,59,L,4-6JT,0
537,50,P,1-3JT,2
538,59,P,4-6JT,2
539,59,L,1-3JT,4
540,36,L,7-10JT,2
541,53,P,1-3JT,0
542,41,L,7-10JT,4
543,17,P,4-6JT,2
544,48,L,1-3JT,3
545,58,P,4-6JT,3
546,40,P,7-10JT,6
547,25,P,7-10JT,4
548,17,L,1-3JT,3
549,39,L,7-10JT,0
550,48,L,7-10JT,4
551,32,P,1-3JT,6
552,29,P,1-3JT,1
553,24,L,1-3JT,3
554,39,L,7-10JT,6
555,37,P,1-3JT,1
556,53,L,7-10JT,1
557,35,P,7-10JT,1
558,45,P,1-3JT,3
559,57,P,7-10JT,1
560,36,L,4-6JT,6
561,29,P,1-3JT,5
562,49,P,1-3JT,2
563,52,P,4-6JT,2
564,34,P,4-6JT,5
565,49,P,7-10JT,6
566,46,P,4-6JT,4
567,43,L,4-6JT,2
568,23,P,4-6JT,1
569,25,L,7-10JT,6
570,17,L,4-6JT,3
571,36,L,4-6JT,0
572,48,L,1-3JT,5
573,28,L,7-10JT,2
574,59,P,7-10JT,3
575,36,L,7-10JT,0
576,33,L,4-6JT,3
577,25,P,7-10JT,6
578,52,L,7-10JT,1
579,36,L,7-10JT,4
580,33,L,4-6JT,6
581,23,P,7-10JT,1
582,45,L,4-6JT,4
583,46,P,1-3JT,1
584,46,P,1-3JT,1
585,42,P,1-3JT,0
586,58,L,1-3JT,5
587,58,L,7-10JT,1
588,33,L,7-10JT,3
589,22,P,7-10JT,2
590,57,L,1-3JT,5
591,35,P,7-10JT,2
592,46,L,1-3JT,0
593,19,P,4-6JT,4
594,17,P,4-6JT,3
595,34,L,4-6JT,1
596,44,P,1-3JT,5
597,27,P,7-10JT,2
598,37,L,4-6JT,5
599,50,P,4-6JT,0
600,47,P,7-10JT,4
601,28,L,7-10JT,2
602,34,L,4-6JT,5
603,44,L,1-3JT,3
604,52,P,4-6JT,6
605,23,L,4-6JT,5
606,34,L,1-3JT,1
607,33,L,4-6JT,5
608,38,L,7-10JT,4
609,46,L,1-3JT,5
610,41,L,7-10JT,5
611,58,P,1-3JT,2
612,28,P,7-10JT,6
613,60,P,7-10JT,1
614,20,P,1-3JT,6
615,26,L,4-6JT,6
616,33,L,7-10JT,4
617,36,L,4-6JT,2
618,37,L,7-10JT,3
619,27,P,4-6JT,2
620,31,L,7-10JT,0
621,38,P,4-6JT,5
622,33,L,7-10JT,1
623,53,L,4-6JT,5
624,41,P,1-3JT,6
625,33,L,1-3JT,1
626,55,L,4-6JT,4
627,33,L,7-10JT,0
628,39,P,7-10JT,1
629,23,L,1-3JT,5
630,24,P,7-10JT,3
631,28,L,4-6JT,4
632,59,L,7-10JT,0
633,51,L,4-6JT,3
634,52,P,4-6JT,1
635,23,P,1-3JT,0
636,37,L,7-10JT,3
637,30,L,4-6JT,1
638,38,L,4-6JT,0
639,57,L,7-10JT,6
640,43,L,1-3JT,1
641,27,P,7-10JT,4
642,58,L,7-10JT,6
643,27,L,7-10JT,4
644,26,L,7-10JT,6
645,27,P,1-3JT,4
646,39,P,4-6JT,4
647,22,L,7-10JT,0
648,53,L,7-10JT,4
649,33,L,1-3JT,6
650,55,P,4-6JT,3
651,45,L,4-6JT,6
652,58,L,7-10JT,1
653,59,L,7-10JT,4
654,42,L,4-6JT,2
655,17,L,4-6JT,0
656,58,P,4-6JT,4
657,33,P,1-3JT,1
658,44,L,4-6JT,6
659,29,L,1-3JT,2
660,24,P,4-6JT,0
661,32,P,1-3JT,0
662,56,L,4-6JT,6
663,55,L,1-3JT,0
664,39,P,7-10JT,2
665,46,P,7-10JT,5
666,60,L,1-3JT,5
667,43,L,4-6JT,5
668,39,L,4-6JT,0
669,40,L,1-3JT,4
670,48,P,1-3JT,5
671,46,P,4-6JT,2
672,27,L,1-3JT,1
673,52,P,7-10JT,2
674,43,L,7-10JT,4
675,34,P,1-3JT,5
676,28,P,1-3JT,4
677,48,L,4-6JT,2
678,42,L,4-6JT,3
679,48,L,4-6JT,6
680,56,L,4-6JT,3
681,42,L,1-3JT,4
682,39,L,7-10JT,5
683,28,L,7-10JT,0
684,21,L,4-6JT,2
685,26,L,1-3JT,3
686,43,P,4-6JT,3
687,48,P,7-10JT,1
688,30,P,7-10JT,2
689,32,L,4-6JT,6
690,24,P,7-10JT,1
691,46,P,7-10JT,0
692,51,L,7-10JT,6
693,47,P,7-10JT,6
694,39,L,1-3JT,6
695,41,P,1-3JT,3
696,48,L,1-3JT,2
697,37,L,7-10JT,6
698,43,L,7-10JT,1
699,21,L,1-3JT,4
700,56,L,1-3JT,5
701,50,P,7-10JT,4
702,45,P,4-6JT,3
703,33,P,1-3JT,5
704,29,L,1-3JT,4
705,51,P,1-3JT,6
706,19,L,1-3JT,2
707,54,P,4-6JT,6
708,51,P,1-3JT,3
709,58,L,7-10JT,6
710,26,L,1-3JT,2
711,27,L,7-10JT,5
712,37,P,1-3JT,0
713,55,L,7-10JT,6
714,37,L,4-6JT,0
715,23,L,7-10JT,3
716,39,P,7-10JT,2
717,57,L,7-10JT,2
718,55,P,4-6JT,6
719,32,P,1-3JT,0
720,34,L,4-6JT,2
721,53,P,1-3JT,3
722,29,L,4-6JT,5
723,44,L,7-10JT,3
724,17,P,4-6JT,2
725,57,P,4-6JT,6
726,46,L,4-6JT,5
727,37,P,7-10JT,3
728,23,L,4-6JT,6
729,37,P,7-10JT,1
730,19,L,7-10JT,1
731,52,P,4-6JT,1
732,59,L,1-3JT,0
733,45,P,7-10JT,6
734,17,L,1-3JT,5
735,42,P,4-6JT,1
736,59,P,1-3JT,5
737,28,L,1-3JT,3
738,46,P,1-3JT,0
739,39,P,4-6JT,4
740,55,P,1-3JT,1
741,39,L,7-10JT,4
742,54,L,4-6JT,4
743,39,L,4-6JT,1
744,33,P,4-6JT,3
745,44,P,7-10JT,6
746,38,P,1-3JT,4
747,27,P,1-3JT,5
748,36,P,1-3JT,4
749,24,L,7-10JT,1
750,48,L,7-10JT,2
751,44,L,7-10JT,0
752,43,P,4-6JT,4
753,56,P,7-10JT,3
754,26,P,1-3JT,6
755,47,L,1-3JT,5
756,57,P,1-3JT,2
757,24,P,4-6JT,5
758,50,P,7-10JT,0
759,21,L,4-6JT,2
760,20,P,4-6JT,5
761,17,P,4-6JT,0
762,43,L,1-3JT,3
763,22,L,7-10JT,4
764,52,P,7-10JT,2
765,39,P,4-6JT,1
766,54,P,4-6JT,1
767,29,L,1-3JT,3
768,57,P,1-3JT,5
769,56,P,4-6JT,6
770,22,L,7-10JT,0
771,37,P,7-10JT,5
772,41,L,7-10JT,4
773,57,P,1-3JT,4
774,50,L,4-6JT,3
775,32,L,1-3JT,4
776,36,P,7-10JT,0
777,26,L,7-10JT,5
778,37,L,7-10JT,4
779,44,L,7-10JT,2
780,45,L,7-10JT,2
781,49,L,1-3JT,4
782,26,P,1-3JT,5
783,59,L,7-10JT,6
784,53,L,4-6JT,5
785,43,L,7-10JT,3
786,24,L,1-3JT,2
787,23,L,1-3JT,2
788,36,L,7-10JT,0
789,37,P,1-3JT,2
790,51,L,7-10JT,5
791,47,L,7-10JT,6
792,60,P,4-6JT,0
793,42,P,4-6JT,3
794,30,L,1-3JT,0
795,33,L,7-10JT,3
796,32,L,4-6JT,4
797,49,L,7-10JT,1
798,42,L,4-6JT,3
799,50,L,4-6JT,0
800,22,P,1-3JT,0
801,39,P,4-6JT,4
802,44,L,4-6JT,0
803,17,P,7-10JT,3
804,47,L,1-3JT,6
805,44,P,1-3JT,0
806,53,L,1-3JT,3
807,48,P,1-3JT,1
808,33,P,7-10JT,1
809,40,L,7-10JT,0
810,25,P,4-6JT,1
811,60,L,1-3JT,1
812,53,L,4-6JT,5
813,40,L,4-6JT,0
814,58,P,1-3JT,1
815,57,P,7-10JT,6
816,42,P,7-10JT,2
817,49,L,7-10JT,6
818,45,P,7-10JT,2
819,22,L,1-3JT,5
820,51,P,7-10JT,1
821,33,L,7-10JT,4
822,37,L,7-10JT,1
823,30,P,4-6JT,0
824,17,P,4-6JT,5
825,22,L,7-10JT,4
826,44,L,7-10JT,6
827,46,L,4-6JT,3
828,29,P,4-6JT,2
829,56,P,1-3JT,3
830,25,L,1-3JT,4
831,56,L,4-6JT,4
832,53,L,4-6JT,1
833,18,L,1-3JT,3
834,29,L,7-10JT,1
835,37,L,7-10JT,4
836,42,L,4-6JT,4
837,34,L,1-3JT,1
838,50,L,1-3JT,2
839,43,L,7-10JT,2
840,35,P,4-6JT,3
841,42,P,4-6JT,3
842,40,P,7-10JT,3
843,59,L,1-3JT,4
844,42,L,1-3JT,5
845,43,P,7-10JT,0
846,53,P,4-6JT,5
847,18,P,1-3JT,5
848,23,P,1-3JT,5
849,48,P,7-10JT,2
850,31,P,4-6JT,2
851,19,P,1-3JT,4
852,30,P,4-6JT,5
853,36,P,7-10JT,5
854,22,P,1-3JT,0
855,31,P,4-6JT,4
856,29,L,7-10JT,4
857,22,P,4-6JT,5
858,51,L,7-10JT,5
859,52,P,7-10JT,5
860,30,L,7-10JT,1
861,51,P,1-3JT,0
862,53,P,1-3JT,3
863,32,L,1-3JT,1
864,49,L,1-3JT,2
865,28,L,4-6JT,4
866,26,P,7-10JT,2
867,23,L,1-3JT,3
868,26,P,1-3JT,2
869,53,P,4-6JT,0
870,42,P,4-6JT,4
871,38,P,1-3JT,5
872,21,P,4-6JT,1
873,40,L,7-10JT,2
874,37,P,4-6JT,0
875,17,P,7-10JT,5
876,22,L,7-10JT,2
877,23,P,1-3JT,1
878,36,L,1-3JT,1
879,52,P,7-10JT,6
880,54,L,4-6JT,0
881,47,P,7-10JT,3
882,28,P,7-10JT,6
883,19,L,4-6JT,5
884,31,L,4-6JT,3
885,23,L,4-6JT,4
886,52,P,1-3JT,2
887,25,P,7-10JT,6
888,26,P,4-6JT,2
889,58,P,7-10JT,3
890,59,L,1-3JT,3
891,57,P,4-6JT,0
892,48,P,4-6JT,3
893,34,L,4-6JT,4
894,17,L,7-10JT,1
895,47,P,1-3JT,1
896,41,P,4-6JT,3
897,52,P,1-3JT,0
898,60,L,7-10JT,2
899,55,P,7-10JT,3
900,47,L,7-10JT,1
901,59,P,4-6JT,2
902,47,L,1-3JT,2
903,52,P,7-10JT,0
904,48,P,4-6JT,2
905,48,P,7-10JT,4
906,17,P,4-6JT,1
907,45,P,4-6JT,3
908,32,P,1-3JT,3
909,44,L,4-6JT,2
910,52,P,7-10JT,6
911,25,L,1-3JT,1
912,26,L,1-3JT,3
913,23,L,7-10JT,6
914,18,P,1-3JT,2
915,51,L,1-3JT,3
916,47,P,4-6JT,4
917,35,L,4-6JT,3
918,33,L,1-3JT,0
919,42,P,4-6JT,4
920,18,L,1-3JT,2
921,20,L,7-10JT,1
922,52,P,1-3JT,5
923,45,L,1-3JT,5
924,56,P,7-10JT,2
925,42,L,1-3JT,2
926,57,P,1-3JT,3
927,55,P,1-3JT,2
928,57,P,1-3JT,2
929,51,L,4-6JT,5
930,51,P,7-10JT,2
931,45,P,1-3JT,6
932,59,L,1-3JT,3
933,17,L,1-3JT,2
934,44,L,4-6JT,0
935,36,L,4-6JT,3
936,26,L,1-3JT,3
937,60,P,7-10JT,3
938,25,L,7-10JT,0
939,28,L,4-6JT,4
940,42,P,4-6JT,5
941,60,P,4-6JT,4
942,33,L,4-6JT,1
943,42,L,4-6JT,4
944,20,P,1-3JT,4
945,30,P,7-10JT,1
946,20,P,7-10JT,6
947,37,P,4-6JT,1
948,56,L,4-6JT,4
949,47,P,4-6JT,5
950,60,P,1-3JT,4
951,41,P,7-10JT,3
952,24,L,7-10JT,6
953,53,L,4-6JT,6
954,29,P,7-10JT,1
955,43,P,1-3JT,4
956,54,L,4-6JT,5
957,40,L,7-10JT,5
958,39,L,4-6JT,1
959,50,P,4-6JT,4
960,55,P,4-6JT,3
961,47,L,4-6JT,4
962,20,P,1-3JT,4
963,46,L,7-10JT,3
964,23,L,4-6JT,4
965,57,L,1-3JT,4
966,41,L,1-3JT,2
967,44,P,1-3JT,6
968,47,L,4-6JT,2
969,28,P,1-3JT,3
970,40,L,1-3JT,1
971,55,L,7-10JT,2
972,43,P,7-10JT,1
973,40,L,1-3JT,6
974,52,P,7-10JT,5
975,44,L,7-10JT,3
976,56,L,4-6JT,3
977,48,L,4-6JT,5
978,43,L,7-10JT,2
979,54,L,7-10JT,6
980,37,P,7-10JT,4
981,41,P,7-10JT,5
982,39,L,7-10JT,6
983,53,L,7-10JT,2
984,34,P,7-10JT,5
985,36,P,4-6JT,4
986,19,L,7-10JT,1
987,60,P,1-3JT,6
988,18,P,7-10JT,6
989,51,P,1-3JT,6
990,32,P,4-6JT,5
991,42,L,4-6JT,2
992,44,L,7-10JT,2
993,35,L,1-3JT,6
994,27,P,1-3JT,5
995,52,L,4-6JT,2
